listing_id,review_id,comments,price,city,cleanliness,safety,location,cleanliness_sent_compound,location_sent_compound,safety_sent_compound,overall_sent_compound
9.842184601685297e+17,1.098675989379762e+18,Perfect home!,244,Austin,0,0,0,,,,0.6114
1.1416083268102198e+18,1.205220528192611e+18,"This was a major win...was in Vegas for a week, this was the perfect place to stay. Nice and quiet, very private and serene. The location was out of the way from the hustle and bussle of Vegas but yet not to far, could still see the Strip, about 20 mins or less away.  The room and bed were awesome, bathroom was spotless and clean. I will definitely be back when in Vegas again. Thanks for an awesome stay!",36,Clark_co,1,0,1,0.7783,0.0,,0.9833
45301708.0,1.0835185388033516e+18,This was a perfect place to stay. I had so much fun because the entire room matches the pictures. Check-in was so easy and the entire space was clean with so much to eat drink. The host Joseph is also nice and cheerful. I really had great conversations with him. I highly recommend this place to anyone. And I will surely visit again.,64,Clark_co,1,0,0,0.7537,,,0.9836
9.02142120588142e+17,1.263867375191221e+18,Absolutely loved my stay even if it was last minute they were quick and responsive! Absolutely loved my stay!,59,Chicago,0,0,0,,,,0.9094
9.17160370919078e+17,1.245033135585708e+18,"First off, not handicap accessible at all! You have to go up 3 flights of stairs to get to your Airbnb. It smelled so bad every time we came in. This place is located in an unsafe neighborhood. We would go to bars and the locals there would say to be very careful because a lot of activity goes on there. Be careful of wearing certain colors in this neighborhood!! There was a lot of sketchiness that we witnessed. Where the Airbnb is located it just smells like sewage everywhere, even with the windows shut. Even though there is a code to get in through the front of the building, there is an alley that ANYONE can access and go up to your place. Would’ve definitely picked somewhere else to stay, if we knew how bad it was going to be ahead of time. I feel like giving 3 stars is even being generous. The host was very friendly, just had an issue with the location itself and the description of it.",57,Chicago,0,1,1,,0.0,0.0,0.9076
1.189512351141348e+18,1.2464727178430257e+18,todo excelente 👌,124,Austin,0,0,0,,,,0.7297
1.298737172802695e+18,1.3015542896138373e+18,By far the best host I’ve ever dealt with. Made sure me and my family were taken care of 100% of the time. Couldn’t have asked for a better Thanksgiving weekend.,55,Austin,0,0,1,,0.6369,,0.9118
7.509270944462586e+17,8.914337095624355e+17,"Great location, cost-effective - a good fit for our situation.  Very friendly but not at all overbearing hosts.  Very helpful when asked a question and otherwise totally not in anyone's business - very easy to come and go as needed.",100,Denver,0,0,0,,,,0.9425
1.204944600461005e+18,1.2102572529410834e+18,"Modern, clean  space with easy parking and a great neighborhood. Rebecca was extremely responsive, would definitely stay here again without hesitation!",156,Denver,1,0,0,0.8658,,,0.9482
6.263823786251214e+17,8.870841631116083e+17,"Our stay was wonderful. We had a great time the home was perfect for my family. Laundry soap, shampoos, soaps, towels, linens, cookware all provided. Alba was great to work with! Would definitely stay again!",194,Clark_co,0,0,0,,,,0.9632
1.061480172979162e+18,1.236437661548072e+18,"Get great place, great value for money.",417,Clark_co,0,0,0,,,,0.891
6.15866049044369e+17,8.435317051516123e+17,"离McCormick展览馆很近,步行大约10分钟,房间内也收拾的很干净.<br/>唯一不足的是其中一个房间的一扇窗没有窗帘,为了更好的睡眠建议后面改进下.<br/>附近社区的安全性也还可以，住着还是比较安心的，Milan的回复有效且快速，非常感谢，会再次入住的。",132,Chicago,0,0,0,,,,0.0
54245940.0,1.1298165100003092e+18,Great place to stay for a few nights. a bit of a hostel feel so you might meet other guests while you're there,39,Austin,0,0,0,,,,0.6249
41299453.0,9.48606736419279e+17,"The apartment looks every bit as good as the photos.  It's private, spacious, comfortable and has great natural light.  My wife, daughter and I felt perfectly safe walking to the subway, but don't expect a high-class neighborhood.    Could it be cleaner? Yes, but just in the spots you might hit once or twice a year.  We arrived in Chicago at 7:30AM and Tessa was kind enough to offer early check-in....a real blessing as I would have hated to lug my suitcase around all day.",105,Chicago,1,1,0,0.1779,,0.5499,0.9562
42734871.0,1.11453819581456e+18,"This house was in a great location. We had everything we needed during our stay. One of the bathrooms was having some work done to it which we hadn’t known about, but other than that, we had a very comfortable stay.",79,Dallas,0,0,0,,,,0.8146
29010142.0,725240913.0,"Great place. Very clean and in a really fun neighborhood. Located near lots of fun bike and walking trails, minutes from the military museum, Mayfield park and close to downtown. The house was cozy for 6 guests. I would recommend for a family of 4 and only for 6 if you have smaller kids that can sleep on the pull out sofa. Rodrigo was a great host and answered questions right away. We really enjoyed our stay!",131,Austin,1,0,1,0.764,0.5106,,0.9763
814908.0,1.1942515447777905e+18,This place was great for our family get together. 13 of us all had plenty of space and beds. The pool is fantastic and a great way to make a hot summer a bit more enjoyable. Keep in mind that all 3 showers/baths are on the 2nd floor. But that wasn’t an issue for us. The location was close to Barton Creek Springs pool which we took full advantage of. Don’t forget to check out the local bakery across the street (Thoroughbred).,843,Austin,0,0,1,,0.25,,0.8247
51596539.0,6.877098370311374e+17,I enjoyed my stay very comfortable and the neighborhood was very nice!,212,Dallas,0,0,0,,,,0.8828
45911161.0,6.681656769608163e+17,Great place for a large family to experience LV!,349,Clark_co,0,0,0,,,,0.6588
1.0285240877722904e+18,1.2972886090913108e+18,Loved the location...great place and short walking distance to 6th Street scene.....very quiet neighborhood.,93,Austin,0,0,0,,,,0.5994
8.414924062593133e+17,1.1102109888328108e+18,Awesome place. Loved it.,100,Dallas,0,0,0,,,,0.8402
8.314631721565332e+17,1.155954225161606e+18,"Scotty""s place was very convenient for my daughter and I and he was responsive to our needs.",129,Clark_co,0,0,1,,0.3612,,0.3612
48381707.0,1.1907021655123244e+18,"Fast and easy communication, quiet neighbourhood, had no issues!",66,Clark_co,0,0,0,,,,0.2481
23120071.0,628227889.0,"This was a really lovely space, close to a lot of fun areas. Our group of 8 had a comfortable and memorable stay",411,Austin,0,0,1,,0.8122,,0.8932
24931653.0,9.21750528003842e+17,He’s very friendly and attentive the place was perfect for 4 people very spacious,104,Chicago,0,0,0,,,,0.8016
1.0205038657386936e+18,1.11822355418521e+18,Tout était parfait. Le logement était plus que propre. Les indications sont claires. J’ai adoré mon séjours et c’est de loin le meilleur que j’ai eu.,225,Dallas,0,0,0,,,,-0.128
14948661.0,1.262439725668326e+18,Host was responsive and welcoming! The house and rooms were spacious and clean we will stay here again,429,Clark_co,1,0,0,0.4019,,,0.8122
7.037704166222902e+17,9.116375308249568e+17,.,339,Chicago,0,0,0,,,,0.0
7.290784568627397e+17,1.1979442166976911e+18,"I was a bit anxious at first since this was my first time using Airbnb for a long term stay, but I immediately knew there was nothing to worry about from the moment I got there. This place exceeded all my expectations in every way possible, and I couldn’t have asked for a better place to stay for my time in Vegas. My experience here was amazing to say the least. Vi was such a great host as well.",74,Clark_co,0,0,0,,,,0.9681
39269663.0,4.709544260667267e+17,"Thanks, Saurin. Great to meet you. We appreciated the extensive efforts you made to make out stay a great one. You allowed early check-in and flex check-out. You opened up your kitchen and its supplies, you spent time on the back deck trying to get us situated, and you offered many local suggestions. Thank you. The level of hospitality was second to none.",93,Chicago,0,0,0,,,,0.9509
8.205582628716727e+17,9.776444091205988e+17,"Freda was an amazing host and has a great AirBnb! It is definitely a hidden gem! The place was very clean and organized. We absolutely loved the decor and the beds were extremely comfortable. She provided everything that we needed for our stay and also provided clear information regarding check in, check out, etc. The location was perfect for where we would be doing most of our activities. Even the restaurant we went to was only 20 minutes away. I would definitely recommend Freda as a host and look forward to booking with her again!",118,Austin,1,0,0,0.4576,,,0.987
1.1765395685032525e+18,1.186457618276576e+18,Great,94,Clark_co,0,0,0,,,,0.6249
1.023994574992134e+18,1.2023423999590136e+18,Daniela’s property was very clean and easily accessible. We had a few minor hiccups (airline changing departure date) and stalled air conditioning at times but Daniela was extremely responsive and understanding. <br/>My only complaint and this could be my error is that I was assuming a toaster and hairdryer would have been there…..easy enough to resolve and I could have missed that in the amenities description. <br/>Very nice stay.,172,Austin,1,0,1,0.6865,0.6865,,0.6209
20978478.0,4.8688897767004794e+17,Great place to stay!,100,Boston,0,0,0,,,,0.6588
